,Datetime,n_spawn,route,spawn_delay,Adjusted_Datetime,Stops
200,2024-03-04 05:14:00,1.0,route_106,-20,2024-03-04 05:13:40,bs_25-bs_17-bs_3-bs_4
201,2024-03-04 05:44:00,1.0,route_106,-20,2024-03-04 05:43:40,bs_25-bs_17-bs_3-bs_4
202,2024-03-04 06:00:00,1.0,route_106,-20,2024-03-04 05:59:40,bs_25-bs_17-bs_3-bs_4
203,2024-03-04 06:15:00,1.0,route_106,-20,2024-03-04 06:14:40,bs_25-bs_17-bs_3-bs_4
204,2024-03-04 06:45:00,1.0,route_106,-20,2024-03-04 06:44:40,bs_25-bs_17-bs_3-bs_4
205,2024-03-04 07:00:00,1.0,route_106,-20,2024-03-04 06:59:40,bs_25-bs_17-bs_3-bs_4
206,2024-03-04 07:15:00,1.0,route_106,-20,2024-03-04 07:14:40,bs_25-bs_17-bs_3-bs_4
207,2024-03-04 07:45:00,1.0,route_106,-20,2024-03-04 07:44:40,bs_25-bs_17-bs_3-bs_4
208,2024-03-04 08:15:00,1.0,route_106,-20,2024-03-04 08:14:40,bs_25-bs_17-bs_3-bs_4
209,2024-03-04 08:45:00,1.0,route_106,-20,2024-03-04 08:44:40,bs_25-bs_17-bs_3-bs_4
210,2024-03-04 09:15:00,1.0,route_106,-20,2024-03-04 09:14:40,bs_25-bs_17-bs_3-bs_4
211,2024-03-04 09:45:00,1.0,route_106,-20,2024-03-04 09:44:40,bs_25-bs_17-bs_3-bs_4
212,2024-03-04 10:15:00,1.0,route_106,-20,2024-03-04 10:14:40,bs_25-bs_17-bs_3-bs_4
213,2024-03-04 10:45:00,1.0,route_106,-20,2024-03-04 10:44:40,bs_25-bs_17-bs_3-bs_4
214,2024-03-04 11:15:00,1.0,route_106,-20,2024-03-04 11:14:40,bs_25-bs_17-bs_3-bs_4
215,2024-03-04 11:45:00,1.0,route_106,-20,2024-03-04 11:44:40,bs_25-bs_17-bs_3-bs_4
216,2024-03-04 12:15:00,1.0,route_106,-20,2024-03-04 12:14:40,bs_25-bs_17-bs_3-bs_4
217,2024-03-04 12:45:00,1.0,route_106,-20,2024-03-04 12:44:40,bs_25-bs_17-bs_3-bs_4
218,2024-03-04 13:15:00,1.0,route_106,-20,2024-03-04 13:14:40,bs_25-bs_17-bs_3-bs_4
219,2024-03-04 13:45:00,1.0,route_106,-20,2024-03-04 13:44:40,bs_25-bs_17-bs_3-bs_4
220,2024-03-04 14:15:00,1.0,route_106,-20,2024-03-04 14:14:40,bs_25-bs_17-bs_3-bs_4
221,2024-03-04 14:45:00,1.0,route_106,-20,2024-03-04 14:44:40,bs_25-bs_17-bs_3-bs_4
222,2024-03-04 15:15:00,1.0,route_106,-20,2024-03-04 15:14:40,bs_25-bs_17-bs_3-bs_4
223,2024-03-04 15:45:00,1.0,route_106,-20,2024-03-04 15:44:40,bs_25-bs_17-bs_3-bs_4
224,2024-03-04 16:15:00,1.0,route_106,-20,2024-03-04 16:14:40,bs_25-bs_17-bs_3-bs_4
225,2024-03-04 16:45:00,1.0,route_106,-20,2024-03-04 16:44:40,bs_25-bs_17-bs_3-bs_4
226,2024-03-04 17:15:00,1.0,route_106,-20,2024-03-04 17:14:40,bs_25-bs_17-bs_3-bs_4
227,2024-03-04 17:45:00,1.0,route_106,-20,2024-03-04 17:44:40,bs_25-bs_17-bs_3-bs_4
228,2024-03-04 18:15:00,1.0,route_106,-20,2024-03-04 18:14:40,bs_25-bs_17-bs_3-bs_4
229,2024-03-04 18:45:00,1.0,route_106,-20,2024-03-04 18:44:40,bs_25-bs_17-bs_3-bs_4
230,2024-03-04 18:59:00,1.0,route_106,-20,2024-03-04 18:58:40,bs_25-bs_17-bs_3-bs_4
